task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, full-train, 0.2, 0.2, 131074, 200000, myv, 1, 65.55
uas, full-train, 0.2, 0.2, 131074, 200000, myv, 2, 66.88
uas, full-train, 0.2, 0.2, 131074, 200000, myv, 3, 68.02
uas, full-train, 0.2, 0.2, 131074, 200000, myv, 4, 66.61
uas, full-train, 0.2, 0.2, 131074, 200000, sme, 1, 67.35
uas, full-train, 0.2, 0.2, 131074, 200000, sme, 2, 69.91
uas, full-train, 0.2, 0.2, 131074, 200000, sme, 3, 69.5
uas, full-train, 0.2, 0.2, 131074, 200000, sme, 4, 65.63
uas, full-train, 0.2, 0.2, 131074, 200000, et, 1, 85.19
uas, full-train, 0.2, 0.2, 131074, 200000, et, 2, 86.57
uas, full-train, 0.2, 0.2, 131074, 200000, et, 3, 86.77
uas, full-train, 0.2, 0.2, 131074, 200000, et, 4, 85.58
uas, full-train, 0.2, 0.2, 131074, 200000, fi, 1, 93.41
uas, full-train, 0.2, 0.2, 131074, 200000, fi, 2, 93.61
uas, full-train, 0.2, 0.2, 131074, 200000, fi, 3, 93.71
uas, full-train, 0.2, 0.2, 131074, 200000, fi, 4, 93.83
uas, full-train, 0.2, 0.2, 131074, 200000, hu, 1, 84.0
uas, full-train, 0.2, 0.2, 131074, 200000, hu, 2, 85.53
uas, full-train, 0.2, 0.2, 131074, 200000, hu, 3, 84.3
uas, full-train, 0.2, 0.2, 131074, 200000, hu, 4, 81.23
uas, full-train, 0.2, 0.2, 131074, 200000, ru, 1, 94.72
uas, full-train, 0.2, 0.2, 131074, 200000, ru, 2, 94.91
uas, full-train, 0.2, 0.2, 131074, 200000, ru, 3, 94.86
uas, full-train, 0.2, 0.2, 131074, 200000, ru, 4, 94.91
uas, full-train, 0.1, 0.2, 32770, 100000, myv, 1, 58.52
uas, full-train, 0.1, 0.2, 32770, 100000, myv, 2, 55.95
uas, full-train, 0.1, 0.2, 32770, 100000, myv, 3, 59.47
uas, full-train, 0.1, 0.2, 32770, 100000, myv, 4, 60.07
uas, full-train, 0.1, 0.2, 32770, 100000, sme, 1, 60.02
uas, full-train, 0.1, 0.2, 32770, 100000, sme, 2, 59.54
uas, full-train, 0.1, 0.2, 32770, 100000, sme, 3, 56.22
uas, full-train, 0.1, 0.2, 32770, 100000, sme, 4, 56.47
uas, full-train, 0.1, 0.2, 32770, 100000, et, 1, 83.78
uas, full-train, 0.1, 0.2, 32770, 100000, et, 2, 84.34
uas, full-train, 0.1, 0.2, 32770, 100000, et, 3, 83.94
uas, full-train, 0.1, 0.2, 32770, 100000, et, 4, 84.37
uas, full-train, 0.1, 0.2, 32770, 100000, fi, 1, 93.47
uas, full-train, 0.1, 0.2, 32770, 100000, fi, 2, 93.49
uas, full-train, 0.1, 0.2, 32770, 100000, fi, 3, 93.61
uas, full-train, 0.1, 0.2, 32770, 100000, fi, 4, 93.5
uas, full-train, 0.1, 0.2, 32770, 100000, hu, 1, 81.67
uas, full-train, 0.1, 0.2, 32770, 100000, hu, 2, 80.3
uas, full-train, 0.1, 0.2, 32770, 100000, hu, 3, 79.81
uas, full-train, 0.1, 0.2, 32770, 100000, hu, 4, 81.25
uas, full-train, 0.1, 0.2, 32770, 100000, ru, 1, 94.6
uas, full-train, 0.1, 0.2, 32770, 100000, ru, 2, 94.63
uas, full-train, 0.1, 0.2, 32770, 100000, ru, 3, 94.59
uas, full-train, 0.1, 0.2, 32770, 100000, ru, 4, 94.62
uas, zero-shot, 0.2, 0.1, 65538, 100000, kpv, 1, 65.46
uas, zero-shot, 0.2, 0.1, 65538, 100000, krl, 1, 64.87
uas, zero-shot, 0.2, 0.1, 65538, 100000, mdf, 1, 63.2
uas, zero-shot, 0.2, 0.1, 65538, 100000, olo, 1, 64.05
uas, zero-shot, 0.2, 0.1, 65538, 100000, sms, 1, 40.19
uas, zero-shot, 0.2, 0.1, 65538, 100000, kpv, 2, 65.16
uas, zero-shot, 0.2, 0.1, 65538, 100000, krl, 2, 65.16
uas, zero-shot, 0.2, 0.1, 65538, 100000, mdf, 2, 63.44
uas, zero-shot, 0.2, 0.1, 65538, 100000, olo, 2, 63.51
uas, zero-shot, 0.2, 0.1, 65538, 100000, sms, 2, 40.5
uas, zero-shot, 0.2, 0.1, 65538, 100000, kpv, 3, 66.0
uas, zero-shot, 0.2, 0.1, 65538, 100000, krl, 3, 64.64
uas, zero-shot, 0.2, 0.1, 65538, 100000, mdf, 3, 63.15
uas, zero-shot, 0.2, 0.1, 65538, 100000, olo, 3, 64.11
uas, zero-shot, 0.2, 0.1, 65538, 100000, sms, 3, 37.09
uas, zero-shot, 0.2, 0.1, 65538, 100000, kpv, 4, 65.69
uas, zero-shot, 0.2, 0.1, 65538, 100000, krl, 4, 64.84
uas, zero-shot, 0.2, 0.1, 65538, 100000, mdf, 4, 64.79
uas, zero-shot, 0.2, 0.1, 65538, 100000, olo, 4, 65.26
uas, zero-shot, 0.2, 0.1, 65538, 100000, sms, 4, 42.13
uas, full-train, 0.2, 0.1, 16386, 100000, myv, 1, 60.97
uas, full-train, 0.2, 0.1, 16386, 100000, myv, 2, 60.72
uas, full-train, 0.2, 0.1, 16386, 100000, myv, 3, 63.36
uas, full-train, 0.2, 0.1, 16386, 100000, myv, 4, 59.45
uas, full-train, 0.2, 0.1, 16386, 100000, sme, 1, 61.17
uas, full-train, 0.2, 0.1, 16386, 100000, sme, 2, 61.63
uas, full-train, 0.2, 0.1, 16386, 100000, sme, 3, 58.2
uas, full-train, 0.2, 0.1, 16386, 100000, sme, 4, 60.17
uas, full-train, 0.2, 0.1, 16386, 100000, et, 1, 85.01
uas, full-train, 0.2, 0.1, 16386, 100000, et, 2, 83.63
uas, full-train, 0.2, 0.1, 16386, 100000, et, 3, 83.5
uas, full-train, 0.2, 0.1, 16386, 100000, et, 4, 84.75
