task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
pos, full-train, NA, NA, NA, 0, et, 2, 95.56
pos, full-train, NA, NA, NA, 0, et, 3, 95.48
pos, full-train, NA, NA, NA, 0, et, 4, 95.5
pos, full-train, NA, NA, NA, 0, fi, 1, 97.6
pos, full-train, NA, NA, NA, 0, fi, 2, 97.55
pos, full-train, NA, NA, NA, 0, fi, 3, 97.61
pos, full-train, NA, NA, NA, 0, fi, 4, 97.47
pos, full-train, NA, NA, NA, 0, hu, 1, 95.57
pos, full-train, NA, NA, NA, 0, hu, 2, 93.74
pos, full-train, NA, NA, NA, 0, hu, 3, 94.54
pos, full-train, NA, NA, NA, 0, hu, 4, 95.43
pos, full-train, NA, NA, NA, 0, ru, 1, 98.57
pos, full-train, NA, NA, NA, 0, ru, 2, 98.58
pos, full-train, NA, NA, NA, 0, ru, 3, 98.59
pos, full-train, NA, NA, NA, 0, ru, 4, 98.63
pos, few-shot, 0.2, 0.2, 32770, 100000, myv, 1, 64.22
pos, few-shot, 0.2, 0.2, 32770, 100000, myv, 2, 72.17
pos, few-shot, 0.2, 0.2, 32770, 100000, myv, 3, 68.41
pos, few-shot, 0.2, 0.2, 32770, 100000, myv, 4, 58.1
pos, few-shot, 0.2, 0.2, 32770, 100000, sme, 1, 58.69
pos, few-shot, 0.2, 0.2, 32770, 100000, sme, 2, 58.14
pos, few-shot, 0.2, 0.2, 32770, 100000, sme, 3, 63.08
pos, few-shot, 0.2, 0.2, 32770, 100000, sme, 4, 61.4
pos, few-shot, 0.2, 0.2, 32770, 100000, et, 1, 77.95
pos, few-shot, 0.2, 0.2, 32770, 100000, et, 2, 74.1
pos, few-shot, 0.2, 0.2, 32770, 100000, et, 3, 78.39
pos, few-shot, 0.2, 0.2, 32770, 100000, et, 4, 82.32
pos, few-shot, 0.2, 0.2, 32770, 100000, fi, 1, 81.05
pos, few-shot, 0.2, 0.2, 32770, 100000, fi, 2, 75.03
pos, few-shot, 0.2, 0.2, 32770, 100000, fi, 3, 75.3
pos, few-shot, 0.2, 0.2, 32770, 100000, fi, 4, 75.62
pos, few-shot, 0.2, 0.2, 32770, 100000, hu, 1, 69.86
pos, few-shot, 0.2, 0.2, 32770, 100000, hu, 2, 81.44
pos, few-shot, 0.2, 0.2, 32770, 100000, hu, 3, 79.73
pos, few-shot, 0.2, 0.2, 32770, 100000, hu, 4, 86.09
pos, few-shot, 0.2, 0.2, 32770, 100000, ru, 1, 85.96
pos, few-shot, 0.2, 0.2, 32770, 100000, ru, 2, 84.05
